num_train_epochs,learning_rate,weight_decay,eval_loss
3,0.0001,0.1,0.4034584373421966
2,0.0001,0.1,0.4098429240565747
3,0.0001,0.5,0.4138865975383669
1,0.0001,0.1,0.4625354067981243
1,0.0001,0.01,0.4633662120997906
4,0.0001,0.5,0.5140136977797374
3,1e-05,0.1,0.5230367185175419
4,0.0001,0.05,0.5252884945180267
3,1e-05,0.05,0.5566022923588753
3,1e-05,0.5,0.5655152286589146
5,0.0001,0.1,0.5722990589868278
2,1e-05,0.1,0.7594853094220161
2,1e-05,0.5,0.7721724659204483
4,0.001,0.05,1.0990978014469148
5,0.001,0.5,1.0993168711662291
3,0.001,0.05,1.1035439145565031
1,0.001,0.05,1.10641313791275
4,0.01,0.05,1.1080970454216004
4,0.01,0.5,1.1093618351221086
5,0.01,0.05,1.1113128060102462
2,0.01,0.0,1.1171235954761507
2,0.01,0.05,1.12249898314476
3,0.01,0.5,1.124639847874641
1,0.01,0.5,1.1251611822843557
1,0.01,0.05,1.1635618048906324
